#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution conditionOnRhoSampling="true" id="FBD.t:PterosaurSmall" spec="sa.evolution.speciation.SABirthDeathModel">
#            <parameter id="originFBD.t:PterosaurSmall" lower="30.0" name="origin" spec="beast.base.inference.parameter.RealParameter" upper="100.0">70.0</parameter>
#            <parameter id="diversificationRateFBD.t:PterosaurSmall" lower="0.0" name="diversificationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <parameter id="turnoverFBD.t:PterosaurSmall" lower="0.0" name="turnover" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="samplingProportionFBD.t:PterosaurSmall" lower="0.0" name="samplingProportion" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="rFBD.t:PterosaurSmall" lower="0.0" name="removalProbability" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <parameter estimate="false" id="rhoFBD.t:PterosaurSmall" lower="0.0" name="rho" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <tree id="Tree.t:PterosaurSmall" spec="beast.base.evolution.tree.Tree">
#                <trait id="dateTrait.t:PterosaurSmall" spec="beast.base.evolution.tree.TraitSet" traitname="date-backward" value="Austriadactylus cristatus=216.65,Austriadraco dallavecchiai=216.65,Caelestiventus hanseni=208.8,Carniadactylus rosenfeldi=217.25,Dromomeron gigas=210.35,Dromomeron gregorii=225.5,Dromomeron romeri=209.75,Eudimorphodon ranzii=217.25,Ixalerpeton polesinensis=233.23,Kongonaphon kely=238.25,Lagerpeton chanarensis=235,Peteinosaurus zambellii=217.25,Preondactylus buffarinii=216.8,PVSJ 883=229.35,Raeticodactylus filisurensis=212.25,Scleromochlus taylori=230.48,Seazzadactylus venieri=217.4">
#                    <taxa id="TaxonSet.PterosaurSmall" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.PterosaurSmall"/>
#            </tree>
#        </distribution>
#        <prior id="ClockPrior.c:PterosaurSmall" name="distribution">
#            <parameter id="clockRate.c:PterosaurSmall" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="diversificationRatePriorFBD.t:PterosaurSmall" name="distribution" x="@diversificationRateFBD.t:PterosaurSmall">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.base.inference.parameter.RealParameter">0.1</parameter>
#            </Gamma>
#        </prior>
#        <prior id="GammaShapePrior.s:PterosaurSmall" name="distribution">
#            <parameter id="gammaShape.s:PterosaurSmall" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="originPriorFBD.t:PterosaurSmall" name="distribution" x="@originFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.3" lower="30.0" name="distr" upper="100.0"/>
#        </prior>
#        <prior id="PropInvariantPrior.s:PterosaurSmall" name="distribution">
#            <parameter id="proportionInvariant.s:PterosaurSmall" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="samplingProportionPriorFBD.t:PterosaurSmall" name="distribution" x="@samplingProportionFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.6" name="distr"/>
#        </prior>
#        <prior id="turnoverPriorFBD.t:PterosaurSmall" name="distribution" x="@turnoverFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@PterosaurSmall" id="treeLikelihood.PterosaurSmall" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:PterosaurSmall">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:PterosaurSmall" proportionInvariant="@proportionInvariant.s:PterosaurSmall" shape="@gammaShape.s:PterosaurSmall" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:PterosaurSmall" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="LewisMK.s:PterosaurSmall" spec="morphmodels.evolution.substitutionmodel.LewisMK" stateNumber="7"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:PterosaurSmall" id="StrictClock.c:PterosaurSmall" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	gammaShape	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD	proportionInvariant
22000	-2698.1847454063713	-2608.5768270784893	-89.60791832788213	-2608.5768270784893	29.44999999999999	92.97431509274926	0.012959163962385474	1.726134142762796	-82.35102737660623	0.04247787010980581	0.9064582149666052	0.10805213613731085	39.24984406879133	2	0.0
23000	-2708.4626137864484	-2615.0582718255296	-93.40434196091904	-2615.0582718255296	30.137854842660374	103.9269872307682	0.012959163962385474	1.726134142762796	-86.2688005534375	0.0536005789373573	0.9191721224842785	0.06459363967650887	40.41361917261551	1	0.0
24000	-2703.833171386145	-2610.4841947647287	-93.34897662141616	-2610.4841947647287	29.791903058252785	96.73450392642783	0.012959163962385474	1.726134142762796	-86.20825610397114	0.05300936767304011	0.8742640317597824	0.08336443411091812	49.28299540497768	2	0.0
25000	-2707.549241299769	-2614.1715164304374	-93.37772486933167	-2614.1715164304374	29.483270975219778	98.07392413574469	0.012959163962385474	1.726134142762796	-86.17924573706944	0.04721989472385676	0.8898514685933726	0.07389647499844652	48.77969145591444	2	0.0
26000	-2704.6818640411366	-2613.251455697027	-91.43040834410958	-2613.251455697027	31.09956037986243	105.09714327070483	0.012959163962385474	1.726134142762796	-84.40272191905261	0.07117930403280029	0.8023826750763283	0.16404958818146378	32.136896374246746	2	0.0
27000	-2706.305981176239	-2611.93855076956	-94.367430406679	-2611.93855076956	29.44999999999999	101.9297491251906	0.010294823156125042	1.726134142762796	-87.36259427332158	0.07774803232023916	0.7122285836134231	0.21209230353582453	35.64263892856443	1	0.0
28000	-2696.4380028897626	-2609.3816536259837	-87.056349263779	-2609.3816536259837	29.44999999999999	84.4028919016848	0.013311393662618584	1.726134142762796	-80.04857595150646	0.07685064001080381	0.8590345154315511	0.1721223909490618	30.07596824307517	2	0.0
29000	-2700.2321041819623	-2612.1155281096176	-88.11657607234486	-2612.1155281096176	29.44999999999999	90.82602706998753	0.013311393662618584	1.726134142762796	-81.10527372134244	0.07571564468952385	0.946569014698468	0.01849763394897978	33.4968302902637	2	0.0
30000	-2698.177922949054	-2611.887934406177	-86.28998854287681	-2611.887934406177	29.786253271280327	91.64992758807425	0.013311393662618584	1.726134142762796	-79.25803404854197	0.07015949867418278	0.946569014698468	0.020636460323349017	31.392700016137244	1	0.0
31000	-2694.979106391534	-2607.2104352728356	-87.76867111869834	-2607.2104352728356	29.44999999999999	93.8688258242863	0.013311393662618584	1.726134142762796	-80.47430668705216	0.03985953365020389	0.9124679337995681	0.09220990004417537	30.177450101528553	1	0.0
32000	-2701.5722489004074	-2613.2098238386366	-88.36242506177075	-2613.2098238386366	30.12962883375927	94.63620600482224	0.011268836071893553	1.726134142762796	-81.31126497649282	0.06602167926046115	0.8602225613140851	0.13857351125652423	30.687204964272755	2	0.0
33000	-2704.9617630862776	-2614.442687601726	-90.51907548455146	-2614.442687601726	30.660504935137304	92.6535305291258	0.011268836071893553	1.726134142762796	-83.33966636051143	0.04897090827452315	0.92303086081185	0.12408402866179394	33.42789742908493	3	0.0
34000	-2698.2766729162695	-2610.174581877903	-88.10209103836618	-2610.174581877903	29.44999999999999	94.64065724156035	0.012738021857664933	1.726134142762796	-80.8298412264815	0.04136771255981968	0.9413729317164239	0.06117626701295602	32.78943808144874	1	0.0
35000	-2699.8589863557195	-2609.3474582332015	-90.51152812251814	-2609.3474582332015	29.44999999999999	102.90963748403442	0.012738021857664933	1.726134142762796	-83.19850940053799	0.03865049618503559	0.9627880404507515	0.02723363563787532	33.20253772443288	1	0.0
36000	-2701.3514455888853	-2610.5472381017203	-90.80420748716506	-2610.5472381017203	29.44999999999999	91.79742224637768	0.01292173784213203	1.726134142762796	-82.72729224596635	0.01408362464602516	0.9183993788530059	0.26351171285623126	33.429830043526934	3	0.0
37000	-2701.7541946639703	-2617.3325596888762	-84.4216349750939	-2617.3325596888762	29.44999999999999	80.16276563501029	0.01292173784213203	1.0976007874338642	-78.05540999846934	0.12068525244688282	0.8452581993003665	0.06107647836990878	34.31032946347316	1	0.0
38000	-2701.4710707276613	-2613.959207414757	-87.51186331290411	-2613.959207414757	30.0236011271701	88.855565163352	0.01292173784213203	1.0976007874338642	-81.16021893750005	0.10951213636151656	0.8718948822414683	0.03885313450595376	35.98533855275247	2	0.0
39000	-2707.849786640095	-2611.3088209874886	-96.54096565260636	-2611.3088209874886	30.097978633509104	96.17350243138964	0.01218838861347636	1.0976007874338642	-90.1701396404449	0.12327954926225236	0.8067471239118581	0.0496390854384841	56.623215899821005	0	0.0
40000	-2698.4372488152458	-2610.5071661114603	-87.93008270378569	-2610.5071661114603	29.45967577416967	92.41399761343607	0.01218838861347636	1.0976007874338642	-81.57781819178537	0.09037768758403851	0.8010967033594779	0.12753444834220623	33.290481518811795	2	0.0
41000	-2703.489409528724	-2615.063093139977	-88.42631638874737	-2615.063093139977	29.44999999999999	92.11539161394802	0.015425020322630515	1.0976007874338642	-82.03127747010558	0.07228582422019665	0.9161352258018788	0.04403109982551858	38.30476620330689	1	0.0
42000	-2698.636886869593	-2614.439912638022	-84.19697423157074	-2614.439912638022	29.44999999999999	82.09875246498481	0.015425020322630515	1.0976007874338642	-77.84926869902279	0.09884686981063194	0.889145427015761	0.042988957782153565	34.33489683671988	1	0.0
43000	-2700.461522795165	-2611.000237361025	-89.46128543413985	-2611.000237361025	30.55935049826853	96.67981093923719	0.011810065614901161	1.0976007874338642	-83.09149771864523	0.08025517931901345	0.8723348970680214	0.04471769806711418	36.56481429671945	0	0.0
