Iteration	Posterior	Likelihood	Prior	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	turnover
410	-164.7446	-31.46503	-133.2796	0.04427647	0.006465952	0.02818973	0.275358	18	39.16262	0.03465568	29.9641	30.5752	28.6799	13.5045	23.8439	21.6889	22.4472	22.6498	13.9075	13.7957	4.97304	6.21975	11.075	8.78366	21.8532	23.3519	22.4528	30.4959	31.9437	20.5064	32.7132	30.9089	0.813423
420	-161.2871	-31.46503	-129.8221	0.04905739	-0.01033068	0.0442194	0.1166347	18	40.1119	0.03388872	28.5907	31.9394	29.5641	28.5633	23.6447	22.1748	22.4426	22.8692	13.9075	13.7957	4.97304	6.21975	8.23345	9.07652	21.8532	23.3519	22.7865	27.8951	25.7363	20.5064	32.7132	29.2065	1.304841
430	-157.4118	-31.46503	-125.9468	0.06532907	-0.02168752	0.04196971	0.1884968	19	40.20303	0.0202822	28.8096	30.8199	29.043	18.8392	23.6447	22.2522	22.6015	22.8692	13.8873	13.7957	3.392	6.21975	12.262	9.07652	21.8532	22.5731	22.7865	24.2387	29.4938	20.5064	38.1669	24.6563	2.069288
440	-157.6153	-31.46503	-126.1502	0.0553239	-0.03801234	0.04964301	0.1667804	19	39.37484	0.01163067	26.2807	31.0098	28.3119	17.3589	23.6447	22.1193	22.6015	22.8692	13.8873	13.7957	3.392	6.14752	10.403	11.0981	21.8532	22.3545	22.754	30.9876	32.2388	20.5064	38.1891	24.6563	4.268285
450	-158.2102	-31.46503	-126.7451	0.05487707	-0.005934842	0.04850206	0.2158023	18	40.14374	0.04256722	24.3791	28.6376	28.3119	15.0068	23.4744	21.9842	22.1806	22.4999	13.8873	13.7957	5.21957	6.14752	10.3102	10.3008	21.8532	22.3545	22.3654	24.8103	28.2451	18.9309	38.1903	24.6563	1.139423
460	-164.2042	-31.46503	-132.7392	0.03465625	-0.007134698	0.05996932	0.2087547	18	42.48707	0.05283463	25.4844	32.9133	29.795	18.3782	23.6521	21.9842	22.1806	22.4374	13.8873	13.7957	5.21957	6.14752	11.8083	10.3008	21.8708	23.4643	22.3654	25.4745	30.233	18.9309	38.0213	25.6685	1.135038
470	-175.3029	-31.46503	-143.8379	0.08290287	-0.01874882	0.06622965	0.1084301	16	43.08881	0.04748083	25.5471	26.0629	30.6569	14.9908	21.7509	21.9842	22.1806	22.8249	13.8873	13.7957	5.21957	6.14752	11.8083	10.3008	21.8708	22.826	23.0869	26.5024	30.8305	19.3916	37.8757	25.6685	1.394871
480	-176.5534	-31.46503	-145.0883	0.0839424	-0.03732891	0.07018905	0.1652916	16	42.40243	0.03286014	28.7307	26.0629	30.6569	19.5081	21.7509	21.3871	21.9614	22.2419	13.8873	13.7957	3.3732	5.92101	11.9058	10.3008	21.8708	23.3007	23.0869	26.6428	32.4319	19.3916	38.0045	23.2691	2.135994
490	-170.6332	-31.46503	-139.1682	0.07414398	-0.06340806	0.1002027	0.1622806	16	41.56595	0.03679467	26.3842	29.5359	31.6549	27.6457	21.7509	21.3871	22.6524	22.4549	13.8873	13.7957	4.89976	5.92101	12.1564	10.3008	21.8708	23.3007	22.9261	24.2023	33.4809	18.5647	37.2739	23.2022	2.723295
500	-159.8148	-31.46503	-128.3498	0.07617893	-0.05406438	0.1002343	0.2503038	18	41.81997	0.04616994	23.5308	28.678	29.9156	22.2303	21.7509	21.3871	22.7445	22.6371	13.8873	13.7957	5.36491	6.51177	12.1564	10.3008	22.8631	23.5294	23.239	29.3474	33.3638	18.5647	37.8721	23.7462	2.170987
510	-164.726	-31.46503	-133.261	0.1013077	-0.05630811	0.115923	0.2020131	17	43.16936	0.05961485	28.2507	26.5286	30.9013	21.5627	21.7509	21.3871	23.2401	22.885	14.3439	13.7957	4.52385	6.51177	11.9026	10.3008	23.1533	22.7338	22.907	30.6129	33.1887	19.0823	37.8964	27.5774	1.944532
520	-177.1889	-31.46503	-145.7239	0.08255334	-0.03602609	0.1048073	0.1202505	15	43.58805	0.06878118	28.2507	29.6112	32.8968	16.5942	21.7509	21.3871	22.6752	22.885	14.3439	13.7957	2.90979	5.70815	11.3878	10.1597	21.7467	22.7338	22.907	30.6129	32.6825	14.6682	38.1235	24.1674	1.523778
530	-182.8501	-31.46503	-151.385	0.09379554	-0.003727123	0.08331136	0.09652886	13	42.4463	0.07958424	28.4189	26.6686	29.8138	21.291	21.7509	21.3871	22.3717	22.885	14.3439	13.7957	4.45822	5.70815	10.2294	9.38346	21.7467	22.7338	22.907	29.5136	25.1977	14.6682	33.5522	28.0725	1.046832
540	-180.0809	-31.46503	-148.6159	0.1204575	0.02910537	0.09342357	0.1131003	13	41.3663	0.1225289	29.4548	26.8689	28.6531	21.291	21.7509	21.3871	22.3717	22.885	14.3439	13.7957	5.3249	5.70815	10.2294	9.764	23.541	22.7338	22.0796	29.7905	26.3736	14.1641	33.5522	23.8193	0.7624613
550	-176.0354	-31.46503	-144.5704	0.08946601	-0.02503917	0.09845826	0.1543307	15	40.98493	0.0734191	29.0585	27.0312	28.6531	25.0409	21.7509	22.6063	22.3717	22.885	14.3439	13.7957	4.57595	6.88879	10.6182	9.92414	23.541	22.7338	22.5796	30.9859	28.8407	20.0502	32.3017	25.8766	1.341044
560	-173.3419	-31.46503	-141.8768	0.1153622	0.005404846	0.1081008	0.1360066	14	42.35322	0.1135057	29.7122	31.4232	25.1482	24.7546	21.7509	22.6063	22.3717	22.885	14.3439	13.7957	5.95742	6.63861	10.6182	9.05222	23.541	21.7636	23.9191	30.9859	28.6535	19.5301	35.9178	24.4208	0.9523826
570	-164.9359	-31.46503	-133.4709	0.2156035	0.04059436	0.07068213	0.1594393	16	41.71508	0.1112765	30.9491	32.3181	25.1482	25.9622	21.7509	22.6063	22.3717	23.1412	14.3439	14.0389	4.9254	6.63861	11.1169	10.3018	23.541	23.6604	23.1303	30.9859	29.5675	19.5301	34.62	23.7489	0.6351937
580	-160.1561	-31.46503	-128.6911	0.1002922	-0.07033612	0.2334156	0.2116923	17	41.89333	0.1630794	29.1395	31.0613	25.1482	25.5028	21.7509	22.6063	22.3717	23.1412	13.7904	13.7369	4.09045	6.22181	11.1169	9.11643	23.541	22.7121	22.4231	30.9859	27.5551	13.569	34.62	23.7093	1.4313
590	-164.4621	-31.46503	-132.9971	0.1558678	-0.01568468	0.1690314	0.2018153	15	41.64337	0.1533467	29.1395	30.3419	27.8057	25.591	21.7509	22.6063	22.3717	23.1412	13.7904	14.2047	4.09045	6.22181	9.57644	8.97834	22.9818	22.6675	22.4231	26.7134	28.8754	13.569	34.62	23.4407	1.102283
